tick,elapsed_time,exploration_duration,exploration_pct,og_pct,octomap_pct,gt_known_cells,current_known_cells,matched_cells,gt_known_voxels,current_known_voxels,matched_voxels,free_ratio,occupied_ratio,unknown_ratio,iou_free,iou_occupied,exploration_rate,avg_exploration_rate,estimated_completion_time
0,0.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.404,0.033,0.563,0.131,0.004,0.000,0.000,-1.000
1,1.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.404,0.033,0.563,0.131,0.004,0.000,0.000,-1.000
2,2.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.404,0.033,0.563,0.131,0.004,0.000,0.000,-1.000
3,3.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.404,0.033,0.563,0.131,0.004,0.000,0.000,-1.000
4,4.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.404,0.033,0.563,0.131,0.004,0.000,0.000,-1.000
5,5.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.400,0.032,0.568,0.131,0.004,0.000,0.000,-1.000
6,6.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.400,0.032,0.568,0.131,0.004,0.000,0.000,-1.000
7,7.999,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.395,0.032,0.573,0.131,0.004,0.000,0.000,-1.000
8,8.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.383,0.031,0.586,0.131,0.004,0.000,0.000,-1.000
9,9.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.383,0.031,0.586,0.131,0.004,0.000,0.000,-1.000
10,10.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.383,0.031,0.586,0.131,0.004,0.000,0.000,-1.000
11,11.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.383,0.031,0.586,0.131,0.004,0.000,0.000,-1.000
12,12.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.383,0.031,0.586,0.131,0.004,0.000,0.000,-1.000
13,13.996,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.383,0.031,0.586,0.131,0.004,0.000,0.000,-1.000
14,14.997,-1.000,11.780,11.780,0.000,25272,3772,2977,0,0,0,0.383,0.031,0.586,0.131,0.004,0.000,0.000,-1.000
