[0.000000] (-) TimerEvent: {}
[0.000540] (-) JobUnselected: {'identifier': 'example_executor_with_multiple_modes_cpp'}
[0.000612] (-) JobUnselected: {'identifier': 'example_global_navigation_cpp'}
[0.000643] (-) JobUnselected: {'identifier': 'example_local_navigation_cpp'}
[0.000674] (-) JobUnselected: {'identifier': 'example_mode_fw_attitude_cpp'}
[0.000699] (-) JobUnselected: {'identifier': 'example_mode_goto_cpp'}
[0.000727] (-) JobUnselected: {'identifier': 'example_mode_goto_global_cpp'}
[0.000752] (-) JobUnselected: {'identifier': 'example_mode_manual_cpp'}
[0.000778] (-) JobUnselected: {'identifier': 'example_mode_mission_cpp'}
[0.000803] (-) JobUnselected: {'identifier': 'example_mode_rtl_replacement_cpp'}
[0.000828] (-) JobUnselected: {'identifier': 'example_mode_vtol_cpp'}
[0.000853] (-) JobUnselected: {'identifier': 'example_mode_with_executor_cpp'}
[0.000878] (-) JobUnselected: {'identifier': 'example_rover_velocity_mode_cpp'}
[0.000902] (-) JobUnselected: {'identifier': 'my_mixed_pkg'}
[0.000927] (-) JobUnselected: {'identifier': 'px4_example_node'}
[0.000963] (-) JobUnselected: {'identifier': 'px4_msgs'}
[0.001412] (-) JobUnselected: {'identifier': 'px4_offboard'}
[0.001547] (-) JobUnselected: {'identifier': 'px4_ros2_cpp'}
[0.001579] (-) JobUnselected: {'identifier': 'px4_ros_com'}
[0.001605] (-) JobUnselected: {'identifier': 'sim_topic_bridge'}
[0.001630] (-) JobUnselected: {'identifier': 'uav_navigation'}
[0.002032] (-) EventReactorShutdown: {}
